date,agx,agy,agz
2021-05-06 17:31:21.395099,0,0,0
2021-05-06 17:31:21.520386,-2.0,7.0,-1000.0
2021-05-06 17:31:21.583395,-2.0,7.0,-1000.0
2021-05-06 17:31:21.646167,-2.0,5.0,-1001.0
2021-05-06 17:31:21.695161,-2.0,5.0,-1001.0
2021-05-06 17:31:21.739164,-2.0,6.0,-999.0
2021-05-06 17:31:21.802149,-1.0,5.0,-1000.0
2021-05-06 17:31:21.863215,-4.0,6.0,-1000.0
2021-05-06 17:31:21.924752,-4.0,6.0,-1000.0
2021-05-06 17:31:21.986598,0.0,6.0,-998.0
2021-05-06 17:31:22.048399,0.0,6.0,-998.0
2021-05-06 17:31:22.110496,-1.0,4.0,-997.0
2021-05-06 17:31:22.157182,-1.0,4.0,-997.0
2021-05-06 17:31:22.220295,-1.0,7.0,-997.0
2021-05-06 17:31:22.282659,0.0,6.0,-998.0
2021-05-06 17:31:22.345942,0.0,6.0,-998.0
2021-05-06 17:31:22.407425,-1.0,7.0,-1001.0
2021-05-06 17:31:22.468397,-1.0,7.0,-1001.0
2021-05-06 17:31:22.530539,-2.0,6.0,-1001.0
2021-05-06 17:31:22.593135,-1.0,8.0,-1001.0
2021-05-06 17:31:22.656111,-1.0,8.0,-1001.0
2021-05-06 17:31:22.718147,-1.0,7.0,-1001.0
2021-05-06 17:31:22.781641,-1.0,7.0,-1002.0
2021-05-06 17:31:22.845607,-1.0,7.0,-1002.0
2021-05-06 17:31:22.909606,-2.0,6.0,-1000.0
2021-05-06 17:31:22.972357,-2.0,6.0,-1000.0
2021-05-06 17:31:23.034988,0.0,6.0,-1000.0
2021-05-06 17:31:23.081220,0.0,6.0,-1000.0
2021-05-06 17:31:23.129240,0.0,6.0,-1000.0
2021-05-06 17:31:23.176527,0.0,6.0,-1000.0
2021-05-06 17:31:23.241484,-1.0,7.0,-999.0
2021-05-06 17:31:23.303497,-1.0,7.0,-998.0
2021-05-06 17:31:23.365582,-1.0,7.0,-998.0
2021-05-06 17:31:23.427583,-2.0,7.0,-998.0
2021-05-06 17:31:23.473773,-2.0,7.0,-998.0
2021-05-06 17:31:23.536060,1.0,7.0,-1002.0
